time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554990082.6465,14.017180,-0.376953,1,3.000000,0.094281,54.360629,3.000000
1554990082.6465,45.542084,-1.014648,1,517.000000,51.409428,100.624566,3.000000
1554990082.6465,11.043831,-0.353516,1,6.000000,-45.959057,91.162109,4.000000
1554990082.6465,-41.321169,1.983398,1,5.000000,-4.695906,82.545898,4.000000
1554990082.6465,15.161437,-0.266602,1,2.000000,-0.769591,74.491308,3.000000
1554990082.6465,14.554873,-0.251953,1,2.000000,-0.076959,67.242178,3.000000
1554990082.6465,10.955716,-0.254883,1,3.000000,0.092304,60.817960,3.000000
1554990082.6465,53.165100,-2.000000,1,517.000000,51.409230,106.436164,3.000000
1554990082.6465,14.251270,-0.358398,1,8.000000,-45.759077,96.592547,4.000000
1554990082.6465,-43.551539,1.983398,1,7.000000,-4.675908,87.633293,4.000000
1554990082.6465,14.481275,-0.253906,1,2.000000,-0.967591,79.069963,3.000000
1554990082.6465,15.307017,-0.263672,1,2.000000,-0.096759,71.362967,3.000000
1554990082.6465,15.536573,-0.299805,0,3.000000,0.090324,64.526670,3.000000
1554990082.6465,22.512037,-0.839844,0,517.000000,51.409032,109.774003,3.000000
1554990082.6465,20.864812,-0.319336,0,12.000000,-45.359097,99.996603,4.000000
1554990082.6465,-36.865343,1.537109,0,10.000000,-4.735910,90.996943,4.000000
1554990082.6465,12.016909,-0.355469,0,3.000000,-1.173591,82.197248,3.000000
1554990082.6465,14.624520,-0.255859,0,2.000000,-0.217359,74.177524,3.000000
1554990082.6465,14.488342,-0.254883,0,2.000000,-0.021736,66.959771,3.000000
1554990082.6465,11.157608,-0.311523,1,5.000000,0.297826,60.763794,3.000000
1554990082.6465,81.891370,-0.939453,1,516.000000,51.129783,106.287415,5.000000
1554990082.6465,7.846328,-0.257812,1,5.000000,-45.987022,96.158673,5.000000
1554990082.6465,-46.756260,1.071289,1,6.000000,-4.498702,87.142806,5.000000
1554990082.6465,13.080000,-0.226562,1,2.000000,-0.849870,78.628525,5.000000
1554990082.6465,10.025834,-0.167969,1,3.000000,0.015013,71.065673,3.000000
1554990082.6465,6.975852,-0.147461,1,4.000000,0.101501,64.359106,4.000000
1554990082.6465,-35.230478,-0.727539,1,4.000000,0.010150,58.323195,4.000000
