times, motion, button, ultra
0.497579,0,0,38
0.498666,0,0,38
0.499723,0,0,38
0.500815,0,0,38
0.501858,0,0,38
0.502962,0,0,38
0.504038,0,0,38
0.505074,0,0,38
0.506152,0,0,38
0.507255,0,0,38
0.508296,0,0,38
0.509346,0,0,38
0.510409,0,0,38
0.511508,0,0,38
0.512571,0,0,38
0.513633,0,0,38
0.514743,0,0,38
0.515821,0,0,38
0.51688,0,0,38
0.517936,0,0,38
0.519055,0,0,38
0.520125,0,0,38
0.521175,0,0,38
0.522236,0,0,38
0.523357,1,0,38
0.524448,1,0,38
0.525496,1,0,38
0.526593,1,0,38
0.527712,1,0,38
0.528762,1,0,23
0.529827,1,0,23
0.530973,1,0,24
0.532054,1,0,24
0.533094,1,0,24
0.534209,1,0,23
0.535339,1,0,24
0.53639,1,0,24
0.537456,0,0,24
0.538577,0,0,24
0.53966,0,0,24
0.540711,0,0,24
0.541808,0,0,24
0.542917,0,0,24
0.543984,0,0,24
0.545065,0,0,24
0.546194,0,0,24
0.547246,0,0,24
0.548289,0,0,24
0.549387,1,0,24
0.550886,1,0,24
0.552093,1,0,24
0.553171,1,0,24
0.554216,1,0,24
0.555299,1,0,24
0.556427,1,0,24
0.55749,1,0,24
0.558531,1,0,24
0.559625,1,0,24
0.560685,1,1,24
0.561739,1,0,24
0.562783,1,0,24
0.563871,1,0,24
0.564947,0,0,24
0.565991,0,0,24
0.567047,0,0,24
0.568153,0,0,24
0.56922,0,0,24
0.570271,0,0,24
0.571374,0,0,24
0.572603,0,0,24
0.573774,0,0,24
0.574906,0,0,24
0.575969,0,0,24
0.577064,0,0,24
0.578132,0,0,24
0.579238,0,0,24
0.580291,0,0,24
0.581411,0,0,24
0.582474,0,0,24
0.583531,0,0,24
0.584618,0,0,24
0.585708,0,0,24
0.586746,0,0,24
0.587834,0,0,24
0.588988,0,0,24
0.590064,0,0,24
0.591111,0,0,24
0.592212,0,0,24
0.593391,0,0,24
0.59448,0,0,24
0.595547,0,0,24
0.596689,0,0,24
0.59775,0,0,24
0.598803,1,0,24
0.599901,1,0,24
0.600984,1,0,24
0.602027,1,0,24
0.603084,1,0,24
0.604195,1,0,24
0.605251,1,0,23
0.606313,1,0,31
0.607367,1,0,31
0.608507,1,0,31
0.609583,1,0,31
0.610641,1,0,31
0.611729,1,0,31
0.612814,0,0,31
0.61387,0,0,31
0.614939,0,0,31
0.61605,0,0,31
0.617132,0,0,30
0.618188,0,0,30
0.619287,0,0,30
0.620386,0,0,31
0.621441,0,0,31
0.622495,0,1,31
0.62362,0,0,31
0.62472,0,0,30
0.625779,0,0,31
0.626868,0,0,31
0.627945,0,0,30
0.62902,0,0,31
0.630099,0,0,30
0.631211,0,0,30
0.632324,0,0,30
0.633806,0,0,30
0.634871,0,0,31
0.635918,0,0,30
0.63702,0,0,30
0.638226,0,0,30
0.639306,0,0,31
0.640365,0,0,30
0.641431,0,0,30
0.642486,0,0,30
0.643597,0,0,31
0.644658,0,0,31
0.645703,0,0,31
0.646772,0,0,31
0.647894,0,0,31
0.648969,0,0,31
0.650062,0,0,30
0.651175,0,0,30
0.652255,0,0,27
0.653305,1,0,33
0.654378,1,0,37
0.655477,1,0,37
0.656545,1,0,37
0.657645,1,0,37
0.658748,1,0,37
0.659841,1,0,37
0.661132,1,0,37
0.662235,1,0,37
0.6633,1,0,37
0.664364,1,0,37
0.665482,1,0,37
0.666555,1,0,37
0.667639,0,0,37
0.668742,0,1,37
0.669833,0,0,37
0.670885,0,0,37
0.671942,0,0,37
0.673053,0,0,37
0.674126,0,0,37
0.675383,0,0,37
0.676436,1,0,37
0.67753,1,0,37
0.67863,1,0,37
0.679672,1,0,37
0.680751,1,0,37
0.681865,1,0,37
